SKU,HIJO,NOMBRE,DESCRIPCIÓN CORTA,DESCRIPCIÓN LARGA,CATEGORÍA,SUBCATEGORÍA,IMAGEN,MARCA,PRECIO,INVENTARIO,ATRIBUTO  COLOR,ATRIBUTO TAMAÑO,TALLA N1
MAHA01,,Tulum,"Traje de baño completo, negro con rosa","Traje de baño completo, negro con estampado rosa,  ideal para lucirlo en playa y alberca.",Traje completo,,,Mahamaha,599,,Negro con manchas de color rosa,,Chico|Mediano|Grande
MAHA01CH,MAHA01,Tulum,"Traje de baño completo, negro con rosa","Traje de baño completo, negro con estampado rosa,  ideal para lucirlo en playa y alberca.",Traje completo,,,Mahamaha,$599,10,Negro con manchas de color rosa,,Chico
MAHA01M,MAHA01,Tulum,"Traje de baño completo, negro con rosa","Traje de baño completo, negro con estampado rosa,  ideal para lucirlo en playa y alberca.",Traje completo,,,Mahamaha,$599,15,Negro con manchas de color rosa,,Mediano
MAHA01G,MAHA01,Tulum,"Traje de baño completo, negro con rosa","Traje de baño completo, negro con estampado rosa,  ideal para lucirlo en playa y alberca.",Traje completo,,,Mahamaha,$599,20,Negro con manchas de color rosa,,Grande
MAHA02,,Milicia,"Traje de baño completo, negro con verde militar","Traje de baño completo, negro con estampado verde militar. creado para lucir espectacular.",Traje completo,,,Mahamaha,599,,Negro con verde camuflajeado,,Chico|Mediano|Grande
MAHA02CH,MAHA02,Milicia,"Traje de baño completo, negro con verde militar","Traje de baño completo, negro con estampado verde militar. creado para lucir espectacular.",Traje completo,,,Mahamaha,$599,5,Negro con verde camuflajeado,,Chico
MAHA02M,MAHA02,Milicia,"Traje de baño completo, negro con verde militar","Traje de baño completo, negro con estampado verde militar. creado para lucir espectacular.",Traje completo,,,Mahamaha,$599,10,Negro con verde camuflajeado,,Mediano
MAHA02G,MAHA02,Milicia,"Traje de baño completo, negro con verde militar","Traje de baño completo, negro con estampado verde militar. creado para lucir espectacular.",Traje completo,,,Mahamaha,$599,10,Negro con verde camuflajeado,,Grande
MAHA03,,María,Bikini de color negro,"Bikini de dos piezas en color negro, con top tipo Bralette y acabado elegante, ideal para lucirlo en color negro.",Bikini de dos piezas,Bikini Bralette,,Mahamaha,599,,,,Chico|Mediano|Grande
MAHA03CH,MAHA03,María,Bikini de color negro,"Bikini de dos piezas en color negro, con top tipo Bralette y acabado elegante, ideal para lucirlo en color negro.",Bikini de dos piezas,Bikini Bralette,,Mahamaha,$549,10,Color Negro,,Chico
MAHA03 M,MAHA03,María,Bikini de color negro,"Bikini de dos piezas en color negro, con top tipo Bralette y acabado elegante, ideal para lucirlo en color negro.",Bikini de dos piezas,Bikini Bralette,,Mahamaha,$549,10,Color Negro,,Mediano
MAHA03 G,MAHA03,María,Bikini de color negro,"Bikini de dos piezas en color negro, con top tipo Bralette y acabado elegante, ideal para lucirlo en color negro.",Bikini de dos piezas,Bikini Bralette,,Mahamaha,$549,10,Color Negro,,Grande
MAHA04,,Balandra,Bikini de color blanco,"Bikini de dos piezas en color blanco,  con top tipo Bralette y acabado elegante, ideal para lucirlo en color blanco.",Bikini de dos piezas,Bikini Bralette,,Mahamaha,549,,,,Chico|Mediano|Grande
MAHA04CH,MAHA04,Balandra,Bikini de color blanco,"Bikini de dos piezas en color blanco,  con top tipo Bralette y acabado elegante, ideal para lucirlo en color blanco.",Bikini de dos piezas,Bikini Bralette,,Mahamaha,$549,10,Color Blanco,,Chico
